GEOID,INTPTLAT,INTPTLONG
42001,37.030572,-88.709400
42003,37.005344,-88.581285
42020,36.692634,-88.289872
42021,36.822560,-89.027668
42022,37.144988,-88.944769
42023,36.872550,-88.990221
42024,37.077408,-89.050311
42025,36.856894,-88.335064
42027,36.916671,-88.627686
42028,37.238907,-88.336844
42029,37.006472,-88.391960
42031,36.685748,-88.991397
42032,36.775917,-89.108099
42035,36.900226,-88.840382
42036,36.711521,-88.214544
42037,37.172781,-88.187707
42038,37.048002,-88.027242
42039,36.788709,-88.825434
42040,36.625296,-88.497073
42041,36.550373,-88.877352
42044,36.959185,-88.263311
42045,37.063997,-88.263094
42047,37.295041,-88.399352
42048,36.765705,-88.228582
42049,36.521138,-88.333756
42050,36.555421,-89.219274
42051,36.850728,-88.647174
42053,37.112649,-88.877823
42054,36.714454,-88.433457
42055,37.075226,-88.174049
42056,37.107275,-88.986746
42058,37.058337,-88.465707
42060,36.965854,-88.828130
42061,36.882838,-88.766366
42064,37.357138,-88.089515
42066,36.732532,-88.639882
42069,36.918791,-88.756493
42071,36.624585,-88.284907
42076,36.571455,-88.106951
42078,37.277815,-88.286799
42079,36.567762,-88.588811
42081,37.226678,-88.416633
42082,36.919858,-88.500423
42083,37.161098,-88.287818
42084,37.434663,-88.245662
42085,36.569521,-88.800945
42086,37.088547,-88.771835
42087,36.975903,-88.996318
42088,36.621222,-88.747697
42101,37.058096,-86.463061
42102,37.003731,-86.418234
42103,36.945656,-86.281066
42104,36.883066,-86.447750
42120,36.672853,-86.262112
42122,36.857070,-86.353679
42123,36.816327,-85.984847
42124,36.870540,-85.643964
42127,37.113569,-85.918463
42129,36.991218,-85.583379
42130,36.925865,-85.786306
42133,36.725886,-85.957537
42134,36.724520,-86.564467
42140,36.656541,-85.828893
42141,36.947551,-85.918331
42151,36.649748,-85.553812
42153,36.662368,-86.066301
42154,37.042605,-85.731320
42156,36.851328,-86.053664
42157,36.781415,-85.819690
42159,36.993145,-86.247946
42160,37.106544,-86.035699
42163,37.079060,-86.134145
42164,36.775664,-86.181864
42166,36.880186,-85.708775
42167,36.720987,-85.674109
42170,36.840553,-86.576675
42171,37.036190,-86.170460
42202,36.689923,-86.847555
42204,36.684754,-87.076167
42206,36.886677,-86.743019
42207,37.293995,-86.266888
42210,37.206716,-86.252303
42211,36.817943,-87.838269
42214,37.138077,-85.683348
42215,36.996009,-87.667395
42217,37.040667,-87.458463
42220,36.893234,-87.178636
42223,36.628264,-87.462873
42232,36.872641,-87.655039
42234,36.711610,-87.180194
42236,36.716286,-87.614237
42240,36.880182,-87.463142
42254,36.660877,-87.654367
42256,37.000918,-86.937440
42259,37.243161,-86.148284
42261,37.217107,-86.671334
42262,36.679919,-87.449417
42265,36.739223,-87.004306
42266,36.744319,-87.357236
42273,37.215930,-86.843897
42274,36.950235,-86.598782
42275,37.217046,-86.456967
42276,36.857008,-86.879778
42280,36.956981,-87.099164
42285,37.264060,-86.297848
42286,36.729179,-87.289840
42301,37.735778,-87.249397
42303,37.758954,-87.046199
42320,37.335491,-86.861075
42321,37.165489,-87.055061
42322,37.613648,-87.395313
42323,37.173379,-87.035443
42324,37.134997,-87.004577
42325,37.327891,-87.274016
42326,37.226524,-87.008142
42327,37.580530,-87.297311
42328,37.430627,-87.045245
42330,37.321824,-87.117943
42332,37.250429,-87.088665
42333,37.364262,-86.758669
42337,37.198542,-86.948897
42338,37.544028,-86.800687
42339,37.094248,-86.974733
42343,37.635989,-86.700827
42344,37.269654,-87.317827
42345,37.135863,-87.183717
42347,37.525035,-86.882159
42348,37.830706,-86.767657
42349,37.422583,-86.676600
42350,37.455012,-87.186913
42351,37.898577,-86.866633
42352,37.514811,-87.085900
42354,37.376776,-86.930719
42355,37.852948,-86.991155
42356,37.693255,-87.324109
42361,37.517166,-86.683941
42366,37.723668,-86.937610
42367,37.239421,-87.159905
42368,37.702946,-86.754071
42369,37.358648,-87.003767
42370,37.449020,-86.738928
42371,37.509858,-87.289967
42372,37.404110,-87.272953
42374,37.325579,-87.156766
42376,37.617483,-87.086437
42378,37.667286,-86.863261
42404,37.474356,-87.838413
42406,37.762139,-87.738240
42408,37.179537,-87.692699
42409,37.538637,-87.692934
42410,37.278539,-87.511771
42411,37.196036,-88.012512
42413,37.448656,-87.467001
42420,37.810607,-87.515005
42431,37.334473,-87.481387
42436,37.373950,-87.575537
42437,37.666657,-87.938070
42440,37.240706,-87.464606
42441,37.360691,-87.666450
42442,37.163858,-87.495808
42445,37.133339,-87.851740
42450,37.395870,-87.763402
42451,37.884533,-87.390707
42452,37.686512,-87.531672
42453,37.157854,-87.590712
42455,37.593375,-87.542551
42456,37.507705,-87.496097
42458,37.839563,-87.420942
42459,37.566806,-88.019048
42461,37.797397,-87.889216
42462,37.743982,-87.801718
42463,37.472620,-87.869452
42464,37.181250,-87.356148
42501,37.056193,-84.450896
42503,37.155209,-84.524653
42516,37.222051,-84.786116
42518,36.942370,-84.632646
42519,36.955324,-84.534998
