GEOID,INTPTLAT,INTPTLONG
88001,32.290052,-106.753893
88002,32.462947,-106.486158
88003,32.280653,-106.745944
88004,32.223096,-106.987431
88005,32.258348,-106.823126
88007,32.441092,-106.921275
88008,31.839378,-106.682084
88009,31.996024,-108.574773
88011,32.322234,-106.655684
88012,32.583384,-106.771378
88020,31.772410,-108.839423
88021,31.951887,-107.016272
88022,32.808002,-108.176468
88023,32.732574,-108.144426
88024,32.070555,-106.639411
88025,33.046807,-108.743434
88026,32.752508,-108.162884
88027,32.044128,-106.789582
88028,32.932820,-108.635946
88029,31.844879,-107.694722
88030,32.191634,-107.729431
88032,32.399562,-106.818760
88033,32.319619,-107.028854
88034,32.613183,-107.938061
88038,33.121970,-108.383037
88039,33.298451,-108.802691
88040,31.597337,-108.354901
88041,32.790119,-107.912538
88042,32.812478,-107.578383
88043,32.610356,-108.100170
88044,32.147978,-106.805850
88045,32.385089,-108.756093
88046,32.250018,-106.802262
88047,32.210041,-106.714690
88048,32.163447,-106.660086
88049,33.035582,-107.918696
88051,32.999155,-108.920335
88052,32.425361,-106.599427
88053,32.902516,-108.205929
88055,32.727817,-108.740990
88056,31.844199,-108.982525
88061,32.654439,-108.333546
88063,31.817964,-106.599107
88065,32.677476,-108.328867
88072,32.138064,-106.616106
88081,32.231243,-106.230566
88101,34.499384,-103.275272
88103,34.383968,-103.318050
88112,34.845972,-103.176920
88113,33.772010,-103.085179
88114,33.523567,-103.199379
88115,33.930877,-103.345497
88116,33.915700,-103.878832
88118,34.229541,-103.689486
88119,34.321996,-104.406747
88120,34.799850,-103.346467
88121,34.714623,-103.980636
88124,34.543377,-103.651819
88125,33.705531,-103.225925
88126,33.811264,-103.372005
88130,34.129177,-103.299416
88132,33.907299,-103.166766
88134,34.323093,-104.018715
88135,34.582808,-103.099614
88136,34.465332,-104.751178
88201,33.637061,-104.377926
88203,33.309569,-104.088238
88210,32.771797,-104.219669
88220,32.311477,-104.431913
88230,33.219165,-104.397567
88231,32.451909,-103.262771
88232,33.077377,-104.465505
88240,32.703708,-103.485112
88242,32.813416,-103.162258
88250,32.701888,-104.960413
88252,32.155119,-103.377932
88253,32.934647,-104.626368
88254,32.612744,-104.450247
88255,32.814201,-103.996448
88256,32.198065,-103.908039
88260,32.991905,-103.381883
88262,33.117140,-103.421158
88263,32.097881,-104.081618
88264,32.890912,-103.711709
88265,32.620454,-103.302871
88267,33.337444,-103.425219
88268,32.176318,-104.379667
88301,33.784013,-105.785720
88310,32.640069,-106.075211
88311,32.807979,-105.987545
88312,33.437646,-105.672598
88314,33.110124,-105.866968
88316,33.797656,-105.322893
88317,32.923773,-105.636987
88318,34.207102,-105.396938
88321,34.761307,-105.458330
88323,33.494704,-105.527545
88324,33.389812,-105.439057
88325,32.856605,-105.858376
88330,32.836613,-106.077383
88336,33.328305,-105.280003
88337,32.996694,-105.884699
88338,33.489525,-105.394520
88339,32.941875,-105.260620
88340,33.176135,-105.583242
88341,33.426176,-105.856659
88342,32.388579,-106.111844
88343,33.225921,-105.077180
88344,32.558694,-105.292323
88345,33.347226,-105.680284
88346,33.353807,-105.540052
88347,32.756185,-105.657681
88348,33.396166,-105.358391
88349,32.779277,-105.802258
88350,32.643391,-105.677014
88351,33.549422,-105.087715
88352,33.166311,-105.994033
88353,34.571355,-105.116141
88354,32.755149,-105.494342
88355,33.360416,-105.667375
88401,35.119482,-103.822230
88410,35.877027,-103.290783
88411,35.140656,-103.150619
88414,36.776962,-103.995689
88415,36.311760,-103.326817
88416,35.285771,-104.194698
88417,35.059210,-104.376625
88418,36.725861,-103.684739
88419,36.910053,-103.531021
88421,35.298352,-104.481343
88422,36.345307,-103.991533
88424,36.412538,-103.656438
88426,35.541549,-103.509461
88427,34.770502,-103.774375
88430,35.581506,-103.180367
88431,35.170055,-104.274806
88434,35.174700,-103.305980
88435,34.914150,-104.695792
88436,36.137269,-103.123137
