GEOID,INTPTLAT,INTPTLONG
81001,38.293234,-104.536493
81003,38.277713,-104.626098
81004,38.043740,-104.714356
81005,38.197683,-104.810446
81006,38.236078,-104.501002
81007,38.360042,-104.773198
81008,38.441619,-104.621526
81019,37.943700,-104.841876
81020,37.548854,-104.491020
81021,38.387612,-103.380930
81022,38.050166,-104.422573
81023,38.052616,-104.964263
81024,37.249355,-104.734713
81025,38.455047,-104.355296
81027,37.189352,-103.799939
81029,37.087819,-102.495606
81030,38.100738,-103.523617
81033,38.194886,-103.861345
81036,38.388466,-102.756210
81038,38.079243,-103.140420
81039,37.939070,-104.085204
81040,37.783983,-105.226512
81041,37.867474,-102.370249
81043,38.131096,-102.220817
81044,37.925042,-102.950617
81045,38.487746,-103.164635
81047,38.111178,-102.151319
81049,37.378762,-103.387574
81050,37.940231,-103.505893
81052,37.918016,-102.639554
81054,37.945704,-103.157396
81055,37.491613,-105.111759
81057,38.121759,-102.883190
81058,38.099953,-103.882859
81059,37.505391,-104.020765
81062,38.296890,-103.964339
81063,38.430710,-103.771060
81064,37.224707,-102.999283
81067,37.933631,-103.778471
81069,37.893271,-104.903626
81071,38.436195,-102.246008
81073,37.420622,-102.712418
81076,38.343221,-103.601595
81077,38.017621,-103.630845
81081,37.048164,-104.214951
81082,37.178909,-104.516734
81084,37.584413,-102.410872
81087,37.365900,-102.409003
81089,37.651579,-104.737761
81090,37.358203,-102.222224
81091,37.148986,-104.964753
81092,38.193819,-102.752246
81101,37.481245,-105.833213
81120,37.227560,-106.319313
81121,37.109777,-107.439077
81122,37.351492,-107.475814
81123,37.399731,-105.571815
81124,37.306244,-106.160588
81125,37.819261,-106.069857
81126,37.155590,-105.334587
81128,37.082226,-106.617244
81129,37.103361,-106.029047
81130,37.620400,-107.057537
81131,37.865412,-105.679141
81132,37.711280,-106.428957
81133,37.430130,-105.307195
81136,37.735128,-105.827948
81137,37.051911,-107.613601
81138,37.030764,-105.620375
81140,37.313495,-106.110838
81141,37.162298,-105.858338
81143,38.049008,-105.856686
81144,37.553439,-106.167043
81146,37.624450,-105.684002
81147,37.322856,-107.085622
81148,37.171819,-105.985414
81149,38.101708,-106.345890
81151,37.278604,-105.808117
81152,37.110768,-105.402120
81154,37.574789,-106.603691
81155,38.288315,-106.074407
81201,38.554832,-106.066038
81210,38.808675,-106.677959
81211,38.973415,-106.381737
81212,38.535973,-105.399681
81220,38.308243,-107.480574
81221,38.362348,-105.144129
81222,38.347997,-105.830935
81223,38.364745,-105.612643
81224,38.879886,-106.934054
81225,38.954250,-106.903504
81226,38.320931,-105.142833
81227,38.549241,-106.290217
81230,38.395065,-106.953683
81231,38.550024,-106.919672
81232,38.285131,-105.610466
81233,38.425974,-105.824878
81235,38.012835,-107.299418
81236,38.675427,-106.264738
81237,38.603067,-106.614052
81239,38.508808,-106.663673
81240,38.500352,-105.034304
81241,38.622869,-106.508421
81242,38.508149,-106.075489
81243,38.265999,-107.192094
81244,38.362933,-105.177721
81248,38.464302,-106.378258
81251,39.112263,-106.478184
81252,38.110643,-105.427522
81253,38.226594,-105.065186
81301,37.441078,-107.852781
81303,37.121490,-107.885499
81320,37.720141,-108.735147
81321,37.312970,-108.734537
81323,37.702838,-108.126994
81324,37.658451,-109.029605
81325,37.919007,-108.727136
81326,37.156378,-108.187079
81327,37.518051,-108.660749
81328,37.360003,-108.258342
81330,37.231252,-108.482502
81331,37.446213,-108.907306
81332,37.700337,-107.991189
81334,37.146140,-108.612966
81335,37.496409,-108.757071
81401,38.484148,-107.770845
81403,38.368817,-107.957315
81410,38.804613,-107.966364
81411,38.250859,-108.979946
81413,38.966929,-107.955456
81415,38.632823,-107.638132
81416,38.752097,-108.136935
81418,38.848899,-107.987839
81419,38.881231,-107.745058
81422,38.346587,-108.711308
81423,38.023159,-108.372470
81424,38.326560,-108.444624
81425,38.493599,-108.247485
81426,37.868211,-107.891294
81427,38.030529,-107.635903
81428,38.962987,-107.599578
81429,38.323946,-108.876176
81430,38.022192,-108.022862
81431,38.110654,-108.570085
81432,38.110115,-107.749673
81433,37.764768,-107.585706
81434,38.961138,-107.348515
81435,37.909549,-107.869218
81501,39.071848,-108.547131
81503,39.029795,-108.434062
81504,39.079602,-108.491247
81505,39.255826,-108.534246
81506,39.114829,-108.526808
81507,39.008939,-108.652183
81520,39.110944,-108.433769
81521,39.123299,-108.798568
81522,38.618218,-108.913333
81523,38.968751,-108.891394
81524,39.274252,-108.787139
81525,39.286708,-108.946167
81526,39.096926,-108.334424
81527,38.799081,-108.469867
81601,39.601448,-107.304314
81610,40.279698,-108.761563
81611,39.160355,-106.687538
81612,39.134183,-106.837368
81615,39.221649,-106.927919
81620,39.595601,-106.513435
81621,39.407141,-106.880042
81623,39.236653,-107.161909
81624,39.194911,-107.698685
81625,40.745223,-107.694794
81630,39.433871,-108.576410
81631,39.629387,-106.750037
81632,39.629169,-106.607659
81633,40.338315,-108.429206
81635,39.495158,-108.047779
81637,39.777824,-107.105819
81638,40.315572,-107.549052
81639,40.506919,-107.239230
81640,40.667730,-108.513364
81641,40.082055,-107.747761
81642,39.316471,-106.655769
81643,39.066290,-108.151554
81645,39.455605,-106.458351
81646,39.097235,-108.002603
81647,39.610533,-107.566625
81648,39.970130,-108.684475
81649,39.530227,-106.278162
81650,39.751037,-108.113722
81652,39.485172,-107.654716
81653,40.975779,-107.267453
81654,39.197543,-107.052509
81655,39.781173,-106.459886
81656,39.283850,-106.897256
81657,39.675999,-106.308296
