GEOID,INTPTLAT,INTPTLONG
90001,33.974027,-118.249509
90002,33.949099,-118.246737
90003,33.964131,-118.272783
90004,34.076198,-118.310722
90005,34.059163,-118.306892
90006,34.048041,-118.294177
90007,34.028133,-118.284828
90008,34.009552,-118.346724
90010,34.062148,-118.315889
90011,34.007090,-118.258681
90012,34.065875,-118.238728
90013,34.045405,-118.240454
90014,34.043146,-118.251746
90015,34.039378,-118.266299
90016,34.028331,-118.354338
90017,34.052913,-118.264340
90018,34.028887,-118.317183
90019,34.049841,-118.338460
90020,34.066379,-118.309870
90021,34.029036,-118.237870
90022,34.023728,-118.156275
90023,34.022502,-118.199613
90024,34.065729,-118.434999
90025,34.045360,-118.445818
90026,34.080017,-118.262643
90027,34.127194,-118.295647
90028,34.099912,-118.326912
90029,34.089848,-118.294661
90031,34.085807,-118.206617
90032,34.078195,-118.185497
90033,34.050380,-118.211991
90034,34.030578,-118.399613
90035,34.051809,-118.383674
90036,34.070410,-118.350411
90037,34.002723,-118.287487
90038,34.088475,-118.325527
90039,34.111525,-118.260552
90040,33.994524,-118.149953
90041,34.137412,-118.207607
90042,34.114708,-118.192098
90043,33.988505,-118.336358
90044,33.952724,-118.291904
90045,33.942108,-118.417488
90046,34.108455,-118.362081
90047,33.953617,-118.308428
90048,34.072924,-118.372710
90049,34.091829,-118.491244
90056,33.988047,-118.370361
90057,34.061735,-118.276757
90058,34.002844,-118.216400
90059,33.926262,-118.249883
90061,33.921280,-118.274186
90062,34.003638,-118.308806
90063,34.045105,-118.185914
90064,34.037251,-118.423573
90065,34.112272,-118.225496
90066,34.002028,-118.430656
90067,34.057597,-118.413998
90068,34.129772,-118.330989
90069,34.093828,-118.381697
90071,34.052876,-118.254943
90073,34.054533,-118.457030
90077,34.108537,-118.457081
90079,34.040587,-118.255404
90089,34.020221,-118.286035
90090,34.072862,-118.240989
90094,33.975416,-118.416989
90095,34.071312,-118.443545
90201,33.970343,-118.171368
90210,34.102630,-118.415972
90211,34.064958,-118.382979
90212,34.062210,-118.401966
90220,33.881510,-118.234451
90221,33.885624,-118.205918
90222,33.912246,-118.236773
90230,33.998213,-118.394059
90232,34.019323,-118.391902
90240,33.955729,-118.118346
90241,33.940884,-118.128628
90242,33.921793,-118.140588
90245,33.917140,-118.404267
90247,33.890853,-118.297967
90248,33.876482,-118.284077
90249,33.901390,-118.315697
90250,33.914775,-118.348083
90254,33.864259,-118.399303
90255,33.978030,-118.217141
90260,33.888560,-118.351813
90262,33.923533,-118.200705
90263,34.039034,-118.707992
90265,34.066117,-118.846342
90266,33.889151,-118.402127
90270,33.987729,-118.186597
90272,34.087460,-118.544232
90274,33.780065,-118.372454
90275,33.753146,-118.367459
90277,33.830006,-118.387124
90278,33.873214,-118.370359
90280,33.944159,-118.192761
90290,34.107728,-118.615981
90291,33.993396,-118.465193
90292,33.979007,-118.457852
90293,33.947305,-118.439841
90301,33.956526,-118.358653
90302,33.975332,-118.355252
90303,33.939766,-118.331085
90304,33.937887,-118.358559
90305,33.958890,-118.330548
90401,34.013666,-118.493750
90402,34.034666,-118.504039
90403,34.030755,-118.492101
90404,34.026608,-118.473643
90405,34.011167,-118.469630
90501,33.833744,-118.314022
90502,33.833181,-118.292062
90503,33.840399,-118.353714
90504,33.867257,-118.330794
90505,33.807882,-118.347957
90506,33.884696,-118.329998
90601,34.007840,-118.030271
90602,33.972232,-118.022557
90603,33.945318,-117.992066
90604,33.929704,-118.012080
90605,33.950295,-118.024352
90606,33.977272,-118.066363
90620,33.846302,-118.012225
90621,33.874224,-117.993368
90623,33.850504,-118.039892
90630,33.818477,-118.038307
90631,33.942708,-117.952483
90638,33.902045,-118.008961
90640,34.015444,-118.111012
90650,33.906956,-118.082640
90660,33.989524,-118.089299
90670,33.933565,-118.062611
90680,33.801178,-117.994901
90701,33.867600,-118.080612
90703,33.868049,-118.069208
90704,33.397729,-118.441282
90706,33.887821,-118.127250
90710,33.799904,-118.298661
90712,33.849034,-118.147902
90713,33.847989,-118.112601
90715,33.841027,-118.079141
90716,33.830457,-118.072639
90717,33.793809,-118.317170
90720,33.795012,-118.062692
90723,33.898883,-118.166629
90731,33.731442,-118.278869
90732,33.742120,-118.312878
90740,33.758405,-118.075043
90742,33.716666,-118.076906
90743,33.726516,-118.090327
90744,33.779284,-118.261723
90745,33.821605,-118.264112
90746,33.859171,-118.252272
90747,33.862900,-118.251318
90755,33.803448,-118.168135
90802,33.745762,-118.208042
90803,33.756289,-118.130636
90804,33.781686,-118.148365
90805,33.864617,-118.180567
90806,33.805640,-118.188596
90807,33.827740,-118.174820
90808,33.823943,-118.111335
90810,33.819814,-118.222416
90813,33.782259,-118.196793
90814,33.771616,-118.143631
90815,33.794348,-118.116391
90822,33.778436,-118.118648
90831,33.768338,-118.201639
